reaction,name,pct_st443,pct_others,pct_diff,p
rxn08689_c0,h2s transport (periplasm),100.0,100.0,0.0,1.0
rxn08685_c0,hydrogen peroxide transport via diffusion (external),100.0,100.0,0.0,1.0
rxn09069_c0,phosphoadenylyl-sulfate reductase (glutaredoxin),0.0,6.33,-6.33,1.0
rxn09066_c0,"Phosphatidate phosphatase (periplasmic, n-C16:1)",0.0,1.27,-1.27,1.0
rxn09082_c0,phosphoethanolamine transferase (c-C16:1),0.0,1.27,-1.27,1.0
rxn09132_c0,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)",0.0,2.53,-2.53,1.0
rxn08804_c0,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)",0.0,1.27,-1.27,1.0
rxn08652_c0,glycolate transport via sodium symport (periplasm),100.0,100.0,0.0,1.0
rxn08551_c0,glycerol-3-phosphate acyltransferase (C18:0),100.0,97.47,2.53,1.0
rxn09111_c0,Phosphatidylglycerol synthase (n-C16:0),14.29,24.05,-9.76,1.0
rxn08559_c0,sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),0.0,1.27,-1.27,1.0
rxn08561_c0,sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm),0.0,6.33,-6.33,1.0
rxn09110_c0,Phosphatidylglycerol synthase (n-C14:1),0.0,7.59,-7.59,1.0
rxn08582_c0,aldose-1-epimerase,0.0,1.27,-1.27,1.0
rxn08583_c0,galactosyltransferase I (LPS core synthesis),100.0,97.47,2.53,1.0
rxn08592_c0,D-glucosamine transport via PEP:Pyr PTS (periplasm),0.0,3.8,-3.8,1.0
rxn09107_c0,"phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",0.0,1.27,-1.27,1.0
rxn09106_c0,"phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)",100.0,97.47,2.53,1.0
rxn08598_c0,GDPPYPHOSKIN-RXN.c,100.0,100.0,0.0,1.0
rxn09039_c0,2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN.c,100.0,100.0,0.0,1.0
rxn08599_c0,GDP-mannose mannosyl hydrolase,0.0,3.8,-3.8,1.0
rxn08618_c0,glucosyltransferase I (LPS core synthesis),100.0,97.47,2.53,1.0
rxn08619_c0,glucosyltransferase II (LPS core synthesis),100.0,97.47,2.53,1.0
rxn08620_c0,glucosyltransferase III (LPS core synthesis),100.0,97.47,2.53,1.0
rxn08624_c0,ABC-12-RXN.cp,0.0,1.27,-1.27,1.0
rxn08631_c0,"L-glutamate transport via proton symport, reversible (periplasm)",0.0,1.27,-1.27,1.0
rxn08635_c0,Glyceraldehyde transport via diffusion (extracellular to periplasm),100.0,100.0,0.0,1.0
rxn09083_c0,phosphoethanolamine transferase (c-C16:1),0.0,1.27,-1.27,1.0
rxn09037_c0,"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 5 isopentenyl units)",0.0,12.66,-12.66,1.0
rxn09115_c0,heme-transporting ATPase,100.0,97.47,2.53,1.0
rxn08709_c0,LPS heptose kinase II (LPS core synthesis),100.0,97.47,2.53,1.0
rxn08893_c0,"murein D,D-carboxypeptidase (murein5p4p) (periplasm)",100.0,100.0,0.0,1.0
rxn08892_c0,"murein D,D-carboxypeptidase (murein5p5p) (periplasm)",100.0,100.0,0.0,1.0
rxn08891_c0,"murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",100.0,100.0,0.0,1.0
rxn08890_c0,"murein D,D-carboxypeptidase (murein5px4p) (periplasm)",100.0,100.0,0.0,1.0
rxn08865_c0,TRANS-RXN-121A.cp,42.86,41.77,1.08,1.0
rxn08857_c0,Lysyl-tRNA synthetase,100.0,100.0,0.0,1.0
rxn09130_c0,"Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)",0.0,11.39,-11.39,1.0
rxn08853_c0,ABC-3-RXN.cp,0.0,2.53,-2.53,1.0
rxn08764_c0,ketol-acid reductoisomerase (2-Acetolactate),100.0,100.0,0.0,1.0
rxn08848_c0,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",42.86,36.71,6.15,1.0
rxn08846_c0,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",0.0,1.27,-1.27,1.0
rxn08842_c0,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",0.0,1.27,-1.27,1.0
rxn08766_c0,Beta-ketoacyl-ACP synthase,100.0,100.0,0.0,1.0
rxn08836_c0,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:0)",0.0,1.27,-1.27,1.0
rxn09126_c0,"Phospholipase A1 (phosphatidate, n-C16:0) (periplasm)",0.0,3.8,-3.8,1.0
rxn08831_c0,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C12:0)",0.0,10.13,-10.13,1.0
rxn08829_c0,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:0)",0.0,1.27,-1.27,1.0
rxn08824_c0,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)",0.0,10.13,-10.13,1.0
rxn08787_c0,ATP phosphohydrolase (lipopolysaccharide-exporting),100.0,100.0,0.0,1.0
rxn08820_c0,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)",0.0,3.8,-3.8,1.0
rxn08819_c0,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)",0.0,3.8,-3.8,1.0
rxn09113_c0,Phosphatidylglycerol synthase (n-C18:0),100.0,97.47,2.53,1.0
rxn09129_c0,"Phospholipase A1 (phosphatidate, n-C18:1) (periplasm)",0.0,2.53,-2.53,1.0
rxn09128_c0,"Phospholipase A1 (phosphatidate, n-C18:0) (periplasm)",0.0,7.59,-7.59,1.0
rxn08812_c0,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)",0.0,2.53,-2.53,1.0
rxn08796_c0,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)",0.0,1.27,-1.27,1.0
rxn08806_c0,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)",14.29,20.25,-5.97,1.0
rxn08799_c0,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",0.0,3.8,-3.8,1.0
rxn08802_c0,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)",0.0,1.27,-1.27,1.0
rxn08805_c0,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)",0.0,1.27,-1.27,1.0
rxn08784_c0,ABC-35-RXN.cp,0.0,5.06,-5.06,1.0
rxn09125_c0,"Phospholipase A1 (phosphatidate, n-C14:1) (periplasm)",0.0,5.06,-5.06,1.0
rxn08894_c0,"murein D,D-carboxypeptidase (murein5p3p) (periplasm)",100.0,100.0,0.0,1.0
rxn08900_c0,FAD-dependent malate dehydrogenase,100.0,100.0,0.0,1.0
rxn09012_c0,RXN0-5074.c,100.0,100.0,0.0,1.0
rxn09011_c0,nucleoside-triphosphatase (dITP),100.0,100.0,0.0,1.0
rxn09010_c0,5'-nucleotidase (dIMP) (periplasm),100.0,100.0,0.0,1.0
rxn09008_c0,nitric oxide transport via diffusion (extracellular to periplasm),100.0,100.0,0.0,1.0
rxn08990_c0,nickle (Ni+2) transport out via proton antiport (periplasm),14.29,17.72,-3.44,1.0
rxn08710_c0,RXN0-5118.c,100.0,97.47,2.53,1.0
rxn08989_c0,Nickle (Ni+2) ABC transporter (periplasm),100.0,100.0,0.0,1.0
rxn08981_c0,nicotinic acid mononucleotide pyrophosphorylase,100.0,100.0,0.0,1.0
rxn08976_c0,quinone reductase,100.0,100.0,0.0,1.0
rxn08975_c0,dihydronicotinamide adenine dinucleotide-coenzyme Q reductase,100.0,100.0,0.0,1.0
rxn08974_c0,NADH dehydrogenase (demethylmenaquinone-8 & 3 protons) (periplasm),100.0,100.0,0.0,1.0
rxn09131_c0,"Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)",0.0,1.27,-1.27,1.0
rxn08711_c0,RXN0-5061.c,100.0,97.47,2.53,1.0
rxn08712_c0,heptosyltransferase III (LPS core synthesis),100.0,97.47,2.53,1.0
rxn09119_c0,Phytase (periplasm),0.0,1.27,-1.27,1.0
rxn08973_c0,NADH dehydrogenase (menaquinone-8 & 3 protons) (periplasm),100.0,100.0,0.0,1.0
rxn08972_c0,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),100.0,100.0,0.0,1.0
rxn08901_c0,Malate dehydrogenase (menaquinone 8 as acceptor),100.0,100.0,0.0,1.0
rxn08756_c0,isopentenyl-diphosphate:NAD+ oxidoreductase,100.0,100.0,0.0,1.0
