medium,st443_n,st443_mean,st443_sd,st658_n,st658_mean,st658_sd,mannwhitney_u,p_value_onesided,cohens_d,significance
Western diet,7,0.35111172200030977,0.01010845080648475,4,0.37067019932430406,8.063460480619538e-16,4.0,0.034678497608181535,-2.369714732095614,*
High-fiber diet,7,0.30186152958625284,0.011545860815260331,4,0.32303563491190035,5.745605276274444e-15,4.0,0.034678497608181535,-2.2460756559282493,*
