reaction,ec,kegg
rxn04285_c0,2.6.1.89,R06423
rxn04424_c0,1.1.1.195,R06570
rxn04425_c0,1.1.1.195,
rxn04443_c0,2.2.1.1,
rxn04464_c0,2.1.1.148,
rxn04674_c0,2.1.1.163,
rxn04675_c0,4.1.1.71,
rxn04676_c0,2.2.1.1,R06861
rxn04677_c0,2.2.1.3,R06862
rxn04678_c0,2.2.1.1,
rxn04704_c0,1.3.98.3,R06895
rxn04865_c0,1.1.1.271,R07059
rxn04866_c0,1.1.1.271,R07060
rxn04933_c0,1.1.1.255,R07135
rxn04951_c0,1.2.1.69,R07156
rxn04996_c0,1.17.1.2;1.17.7.4,
rxn05036_c0,2.6.1.79,R07276
rxn05040_c0,4.1.99.12,R07281
rxn05050_c0,3.1.3.5,R07297
rxn05073_c0,1.14.11.9,
rxn05108_c0,2.6.1.57,R07396
rxn05145_c0,3.6.3.27;7.3.2.1,
rxn05146_c0,,
rxn05147_c0,,
rxn05150_c0,,
rxn05151_c0,,
rxn05152_c0,,
rxn05154_c0,,
rxn05155_c0,,
rxn05156_c0,,
rxn05161_c0,,
rxn05163_c0,,
rxn05164_c0,,
rxn05165_c0,,
rxn05166_c0,,
rxn05168_c0,,
rxn05169_c0,,
rxn05170_c0,3.6.3.19;7.5.2.1,
rxn05171_c0,,
rxn05174_c0,,
rxn05175_c0,,
rxn05179_c0,,
rxn05195_c0,,
rxn05204_c0,,
rxn05207_c0,,
rxn05210_c0,,
rxn05215_c0,,
rxn05217_c0,,
rxn05219_c0,,
rxn05221_c0,,
rxn05231_c0,1.17.4.1,R02017
rxn05233_c0,1.17.4.1,R02019
rxn05237_c0,,
rxn05247_c0,6.2.1.3,
rxn05248_c0,6.2.1.3,
rxn05249_c0,6.2.1.3,
rxn05250_c0,6.2.1.3,
rxn05251_c0,6.2.1.3,
rxn05252_c0,6.2.1.3,
rxn05289_c0,1.6.4.5;1.8.1.9,R02016
rxn05293_c0,1.17.7.3,
rxn05297_c0,,
rxn05298_c0,,
rxn05299_c0,,
rxn05300_c0,,
rxn05307_c0,,
rxn05312_c0,,
rxn05321_c0,2.1.3.15,
rxn05322_c0,1.3.1.9,R04429
rxn05323_c0,1.3.1.9,R04966
rxn05324_c0,1.3.1.9,R04724
rxn05325_c0,1.3.1.9,R04958
rxn05326_c0,1.3.1.9,R04955
rxn05327_c0,1.3.1.9,R04961
rxn05328_c0,1.3.1.9,R04969
rxn05329_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,R04428
rxn05330_c0,2.3.1.85;2.3.1.86,R04954
rxn05332_c0,2.3.1.85;2.3.1.86,R04544
rxn05333_c0,2.3.1.85;2.3.1.86,R04535
rxn05334_c0,2.3.1.85;2.3.1.86,R04537
rxn05335_c0,2.3.1.85;2.3.1.86,R04568
rxn05336_c0,2.3.1.85;2.3.1.86,R04543
rxn05337_c0,2.3.1.85;2.3.1.86,R04953
rxn05338_c0,2.3.1.85;2.3.1.86,R04534
rxn05339_c0,2.3.1.85;2.3.1.86,R04533
rxn05340_c0,2.3.1.85;2.3.1.86,R04964
rxn05341_c0,2.3.1.85;2.3.1.86,R04536
rxn05342_c0,2.3.1.85;2.3.1.86,R04566
rxn05343_c0,2.3.1.179;2.3.1.41,R04960
rxn05344_c0,2.3.1.179;2.3.1.41,R04968
rxn05345_c0,2.3.1.179;2.3.1.41,R04726
rxn05346_c0,2.3.1.179;2.3.1.41,R04952
rxn05347_c0,2.3.1.179;2.3.1.41,R04355
rxn05348_c0,2.3.1.179;2.3.1.41,R04963
rxn05349_c0,2.3.1.180,R01624
rxn05350_c0,2.3.1.179;2.3.1.41,R04957
rxn05351_c0,1.3.1.10;1.3.1.104,R04967
rxn05352_c0,1.3.1.10;1.3.1.104;1.3.1.39,R04959
rxn05353_c0,1.3.1.10;1.3.1.104,R04430
rxn05354_c0,1.3.1.10;1.3.1.104,R04970
rxn05355_c0,1.3.1.10;1.3.1.104;1.3.1.39,R04725
rxn05356_c0,1.3.1.10;1.3.1.104,R04962
rxn05357_c0,1.3.1.10;1.3.1.104;1.3.1.39,R04956
rxn05465_c0,2.3.1.85;2.3.1.86,R01626
rxn05466_c0,,
rxn05469_c0,,
rxn05470_c0,,
rxn05488_c0,,
rxn05493_c0,,
rxn05496_c0,,
rxn05500_c0,,
rxn05507_c0,,
rxn05513_c0,,
rxn05514_c0,,
rxn05516_c0,,
rxn05528_c0,,
rxn05555_c0,,
rxn05559_c0,,
rxn05561_c0,,
rxn05566_c0,,
rxn05573_c0,,
rxn05579_c0,,
rxn05582_c0,,
rxn05595_c0,,
rxn05602_c0,,
rxn05605_c0,,
rxn05608_c0,3.6.3.19;7.5.2.1,
rxn05611_c0,,
rxn05619_c0,,
rxn05622_c0,,
rxn05638_c0,,
rxn05641_c0,3.6.3.44;7.6.2.2,
rxn05651_c0,,
rxn05654_c0,,
rxn05733_c0,2.5.1.47;2.5.1.49,R04859
rxn05736_c0,6.2.1.3,
rxn05747_c0,1.6.5.3;7.1.1.2,
rxn05760_c0,1.4.7.1,
rxn05763_c0,3.6.1.19;3.6.1.23;3.6.1.9,R00056
rxn05771_c0,1.9.3.1,R00082
rxn05895_c0,1.9.6.1,R00792
rxn05910_c0,1.6.4.5;1.8.1.9,R00900
rxn05927_c0,2.8.1.6,
rxn05938_c0,,
rxn05957_c0,2.5.1.48,R01288
rxn05958_c0,3.13.1.2;4.4.1.21,R01291
rxn05994_c0,1.3.1.9,R01403
rxn05995_c0,1.3.1.10;1.3.1.104;1.3.1.39,R01404
rxn06023_c0,2.7.8.7,
rxn06075_c0,1.17.4.1,R02018
rxn06076_c0,1.17.4.1,R02024
rxn06090_c0,4.1.1.65,R02055
rxn06108_c0,1.6.5.3;7.1.1.2,
rxn06239_c0,2.5.1.57;4.1.3.20,R02769
rxn06280_c0,6.1.1.1,R02918
rxn06282_c0,4.4.1.13;4.4.1.6;4.4.1.8,R02953
rxn06300_c0,6.1.1.7,R03038
rxn06323_c0,2.7.7.37,R03143
rxn06373_c0,2.1.1.79,R03411
rxn06404_c0,4.4.1.13;4.4.1.6;4.4.1.8,R03528
rxn06432_c0,6.1.1.19,R03646
rxn06433_c0,6.1.1.23,R03647
rxn06434_c0,6.1.1.22,R03648
rxn06435_c0,6.1.1.16,R03650
rxn06437_c0,6.1.1.18,R03652
rxn06438_c0,6.1.1.14,R03654
rxn06439_c0,6.1.1.21,R03655
rxn06440_c0,6.1.1.5,R03656
rxn06441_c0,6.1.1.4,R03657
rxn06443_c0,6.1.1.10,R03659
rxn06444_c0,6.1.1.20,R03660
rxn06445_c0,6.1.1.15,R03661
rxn06446_c0,6.1.1.11,R03662
rxn06447_c0,6.1.1.3,R03663
rxn06448_c0,6.1.1.2,R03664
rxn06449_c0,6.1.1.9,R03665
rxn06485_c0,2.4.2.29,R03789
rxn06490_c0,2.1.1.56,R03805
rxn06499_c0,2.7.7.50,R03828
rxn06556_c0,3.1.2.21,R04014
rxn06557_c0,1.12.2.1,
rxn06591_c0,1.2.1.70,R04109
rxn06620_c0,2.4.1.119;2.4.99.18,R04216
rxn06624_c0,3.1.1.29,R04238
rxn06641_c0,1.17.4.1,R04294
rxn06672_c0,6.3.4.14,R04385
rxn06673_c0,2.1.3.15,R04386
rxn06698_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,
rxn06723_c0,2.3.1.191,R04550
rxn06729_c0,2.3.1.129,R04567
rxn06820_c0,2.5.1.48,R04944
rxn06882_c0,6.3.2.17,
rxn06936_c0,6.1.1.23,R05577
rxn06937_c0,6.1.1.17,R05578
rxn06991_c0,1.17.4.3;1.17.7.1,
rxn07312_c0,2.1.1.41,R07481
rxn07456_c0,2.7.2.9;6.3.5.5,R07641
rxn07474_c0,2.6.1.87;2.6.1.92,R07659
rxn07482_c0,1.2.1.28,R07667
rxn07579_c0,1.3.1.9,R07765
rxn07783_c0,1.14.11.9,R07993
rxn07786_c0,1.14.11.9,R07996
rxn07787_c0,1.14.11.9,R07997
rxn07976_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,
rxn07977_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,
rxn07978_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,
rxn07979_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,R07764
rxn07980_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,
rxn07981_c0,4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61,
rxn07987_c0,1.1.1.100,
rxn07989_c0,1.1.1.100,
rxn07991_c0,1.1.1.100,
rxn07992_c0,1.1.1.100,
rxn07993_c0,1.1.1.100,
rxn07997_c0,2.3.1.179;2.3.1.41,
rxn07998_c0,2.3.1.179;2.3.1.41,
rxn08000_c0,2.3.1.179;2.3.1.41,
rxn08001_c0,2.3.1.179;2.3.1.41,
rxn08002_c0,2.3.1.179;2.3.1.41,
rxn08013_c0,3.2.2.9,
rxn08014_c0,6.2.1.20,
rxn08020_c0,6.2.1.20,
rxn08021_c0,6.2.1.20,
rxn08022_c0,6.2.1.20,
rxn08043_c0,2.2.1.6;4.1.3.18,
rxn08062_c0,,
rxn08097_c0,,
rxn08130_c0,2.1.1.163,
rxn08131_c0,4.1.99.17,
rxn08141_c0,,
rxn08160_c0,,
rxn08168_c0,1.4.3.16,
rxn08173_c0,3.6.3.14;7.1.2.2,
rxn08188_c0,,
rxn08196_c0,,
rxn08206_c0,2.1.1.79,
rxn08207_c0,2.1.1.79,
rxn08208_c0,2.1.1.79,
rxn08209_c0,2.1.1.79,
rxn08233_c0,,
rxn08239_c0,,
rxn08240_c0,,
rxn08275_c0,,
rxn08280_c0,,
rxn08288_c0,1.10.3.14;7.1.1.7,
rxn08335_c0,1.3.5.2,
rxn08350_c0,,
rxn08352_c0,1.17.1.2;1.17.7.4,
rxn08386_c0,1.3.1.9,
rxn08387_c0,1.3.1.10;1.3.1.104,
rxn08390_c0,1.3.1.9,
rxn08391_c0,1.3.1.10;1.3.1.104,
rxn08392_c0,1.3.1.9,
rxn08393_c0,1.3.1.10;1.3.1.104;1.3.1.39,
rxn08394_c0,1.3.1.9,
rxn08395_c0,1.3.1.10;1.3.1.104,
rxn08398_c0,1.3.1.9,
rxn08399_c0,1.3.1.10;1.3.1.104,
rxn08433_c0,3.1.2.14,R08158
rxn08434_c0,3.1.2.14,R08159
rxn08438_c0,3.1.2.14,R08157
rxn08439_c0,3.1.2.2,
rxn08440_c0,3.1.2.2,
rxn08441_c0,3.1.2.2,
rxn08444_c0,3.1.2.2,R08174
rxn08448_c0,6.2.1.3,
rxn08449_c0,6.2.1.3,
rxn08450_c0,6.2.1.3,
rxn08451_c0,6.2.1.3,
rxn08452_c0,6.2.1.3,
rxn08453_c0,6.2.1.3,
rxn08454_c0,6.2.1.3,
rxn08455_c0,6.2.1.3,
rxn08456_c0,6.2.1.3,
rxn08457_c0,6.2.1.3,
rxn08473_c0,,
rxn08474_c0,,
rxn08527_c0,1.3.5.1,
rxn08528_c0,1.3.5.1,
rxn08598_c0,2.7.6.5,
rxn08652_c0,,
rxn08661_c0,,
rxn08715_c0,,
rxn08756_c0,1.17.1.2;1.17.7.4,
rxn08762_c0,,
rxn08764_c0,1.1.1.86;1.1.1.89,
rxn08766_c0,2.3.1.180,R10707
rxn08787_c0,3.6.3.39;7.5.2.5,
rxn08857_c0,6.1.1.6,R03658
rxn08890_c0,3.4.16.4,
rxn08891_c0,3.4.16.4,
rxn08892_c0,3.4.16.4,
rxn08893_c0,3.4.16.4,
rxn08894_c0,3.4.16.4,
rxn08900_c0,1.1.3.3;1.1.5.4,
rxn08901_c0,1.1.3.3;1.1.5.4,
rxn08971_c0,1.6.5.3;7.1.1.2,
rxn08972_c0,1.6.5.3;7.1.1.2,
rxn08973_c0,1.6.5.3;7.1.1.2,
rxn08974_c0,1.6.5.3;7.1.1.2,
rxn08975_c0,1.6.5.3;7.1.1.2,
rxn08976_c0,1.6.5.3;7.1.1.2,
rxn08981_c0,2.4.2.11;6.3.4.21,R01724
rxn08989_c0,,
rxn09010_c0,3.1.3.5,
rxn09011_c0,3.6.1.15,
rxn09012_c0,3.6.1.15,
rxn09039_c0,2.1.1.201,
rxn09176_c0,2.7.4.1,
rxn09197_c0,4.1.1.65,
rxn09198_c0,4.1.1.65,
rxn09199_c0,4.1.1.65,
rxn09200_c0,4.1.1.65,
rxn09201_c0,4.1.1.65,
rxn09202_c0,4.1.1.65,
rxn09203_c0,4.1.1.65,
rxn09244_c0,2.9.1.1,R08219
rxn09247_c0,,
rxn09270_c0,,
rxn09272_c0,1.3.5.1,
rxn09304_c0,,
rxn09306_c0,,
rxn09388_c0,,
rxn09389_c0,,
rxn09417_c0,1.3.5.1,
rxn09444_c0,6.2.1.3,
rxn09447_c0,6.2.1.3,
rxn09449_c0,6.2.1.3,
rxn09452_c0,6.2.1.3,
rxn09453_c0,6.2.1.3,
rxn09456_c0,3.1.2.14,
rxn09475_c0,1.3.3.6,
rxn09476_c0,1.3.3.6,
rxn09477_c0,1.3.3.6,
rxn09478_c0,1.3.3.6,
rxn09479_c0,1.3.3.6,
rxn09516_c0,3.6.1.15,
rxn09523_c0,1.6.5.3;7.1.1.2,
rxn09655_c0,,
rxn09657_c0,,
rxn09681_c0,,
rxn09690_c0,,
rxn09886_c0,2.5.1.47,R03601
rxn09889_c0,4.2.1.9,
rxn09948_c0,2.5.1.48,
rxn09975_c0,1.1.1.70;1.2.1.3,
rxn10019_c0,6.2.1.3,
rxn10020_c0,6.2.1.3,
rxn10021_c0,6.2.1.3,
rxn10043_c0,1.9.3.1,
rxn10056_c0,2.7.1.23,
rxn10057_c0,2.7.1.23,
rxn10058_c0,2.7.1.23,
rxn10059_c0,2.7.1.23,
rxn10060_c0,2.7.1.23,
rxn10110_c0,4.1.1.65,
rxn10123_c0,1.6.5.3;7.1.1.2,
rxn10124_c0,1.6.5.3;7.1.1.2,
rxn10138_c0,,
rxn10194_c0,3.6.3.40;7.5.2.4,
rxn10195_c0,3.6.3.40;7.5.2.4,
rxn10196_c0,3.6.3.40;7.5.2.4,
rxn10232_c0,4.1.1.65,
rxn10233_c0,4.1.1.65,
rxn10234_c0,4.1.1.65,
rxn10235_c0,4.1.1.65,
rxn10236_c0,4.1.1.65,
rxn10237_c0,4.1.1.65,
rxn10344_c0,,
rxn10404_c0,6.2.1.3,
rxn10405_c0,6.2.1.3,
rxn10406_c0,6.2.1.3,
rxn10407_c0,6.2.1.3,
rxn10409_c0,6.2.1.3,
rxn10432_c0,1.1.1.399,
rxn10440_c0,4.1.1.65,
rxn10447_c0,,
rxn10453_c0,,
rxn10481_c0,,
rxn10553_c0,4.1.1.65,
rxn10558_c0,,
rxn10578_c0,,
rxn10583_c0,3.6.1.15,
rxn10584_c0,3.6.1.15,
rxn10785_c0,2.5.1.91,R09249
rxn10818_c0,,
rxn10820_c0,,
rxn10839_c0,,
rxn10860_c0,,
rxn10883_c0,,
rxn10901_c0,,
rxn10985_c0,1.1.3.3;1.1.5.4,
rxn11132_c0,4.1.1.101,R11074
rxn11158_c0,,
rxn11216_c0,,
rxn11245_c0,1.1.1.85,R10052
rxn11663_c0,1.1.1.262,R05837
rxn11710_c0,3.1.2.2,R08175
rxn11711_c0,3.1.2.2,R08176
rxn11712_c0,3.1.2.2,R08177
rxn11713_c0,3.1.2.2,R08178
rxn11714_c0,3.1.2.2,R08179
rxn11715_c0,3.1.2.2,R08180
rxn11716_c0,3.1.2.2,R08181
rxn11717_c0,3.1.2.2,R08182
rxn11718_c0,3.1.2.2,R08183
rxn11732_c0,1.1.1.399,R08198
rxn11756_c0,3.5.1.6,R08228
rxn11759_c0,2.4.2.10,R08231
rxn11765_c0,2.4.2.8,R08237
rxn11766_c0,2.4.2.8,R08238
rxn11768_c0,1.1.1.205;1.2.1.14,R08240
rxn11771_c0,3.6.1.19;3.6.1.23;3.6.1.9,R08243
rxn11772_c0,6.3.4.1;6.3.5.2,R08244
rxn11773_c0,2.4.2.8,R08245
rxn11875_c0,1.4.3.21;1.4.3.4;1.4.3.9,R08348
rxn11896_c0,1.2.1.36,R08385
rxn11962_c0,1.11.1.21;1.11.1.6,
rxn11973_c0,1.9.6.1,
rxn11974_c0,2.7.7.37,
rxn12003_c0,3.4.1.1;3.4.11.1,R04951
rxn12038_c0,1.4.3.21;1.4.3.4;1.4.3.9,R08346
rxn12039_c0,1.4.3.21;1.4.3.4;1.4.3.9,R08347
rxn12193_c0,4.2.1.33,R10170
rxn12204_c0,2.7.5.1;5.4.2.2,
rxn12282_c0,6.2.1.3,
rxn12365_c0,,
rxn12366_c0,,
rxn12367_c0,,
rxn12375_c0,,
rxn12423_c0,,
rxn12427_c0,,
rxn12435_c0,,
rxn12446_c0,,
rxn12451_c0,,
rxn12456_c0,,
rxn12494_c0,1.10.3.14;7.1.1.7,
rxn12504_c0,,
rxn12510_c0,2.7.1.33,R03018
rxn12526_c0,,
rxn12554_c0,,
rxn12562_c0,,
rxn12574_c0,,
rxn12649_c0,1.5.1.3;1.5.1.4,R00940
rxn12681_c0,1.2.1.67,
rxn12778_c0,2.4.2.7,R04378
rxn12811_c0,,
rxn12897_c0,3.5.1.45;6.3.4.6,
rxn13314_c0,,
rxn13361_c0,,
rxn13477_c0,2.5.1.83,R09245
rxn13649_c0,3.2.2.9,
rxn13667_c0,2.3.1.179;2.3.1.41,
rxn13668_c0,2.3.1.179;2.3.1.41,
rxn13669_c0,2.3.1.179;2.3.1.41,
rxn13671_c0,2.3.1.179;2.3.1.41,
rxn13673_c0,2.3.1.179;2.3.1.41,
rxn13688_c0,1.9.3.1,
rxn13690_c0,1.3.5.2,
rxn13691_c0,1.3.5.2,
rxn13706_c0,1.3.5.1,
rxn13707_c0,1.3.5.1,
rxn13727_c0,1.6.5.3;7.1.1.2,
rxn13729_c0,1.6.5.3;7.1.1.2,
rxn13734_c0,1.7.2.2,
rxn13735_c0,1.7.2.2,
rxn13741_c0,1.5.1.2;1.5.5.2,
rxn13753_c0,,
rxn13759_c0,,
rxn13766_c0,3.6.3.14;7.1.2.2,
rxn13773_c0,5.3.3.2,
rxn13788_c0,1.2.1.19;1.5.1.35,
rxn14044_c0,1.1.1.173,R08926
rxn14120_c0,1.5.1.3;1.5.1.4,R00937
rxn14167_c0,4.2.1.15;4.4.1.1;4.4.1.2,R08637
rxn14216_c0,2.1.1.61,R00601
rxn14245_c0,4.2.1.13;4.3.1.17,R08698
rxn14246_c0,4.4.1.2,R08633
rxn14263_c0,3.2.2.26,R08587
rxn14299_c0,1.3.5.2,
rxn14359_c0,4.4.1.11,R08635
rxn14382_c0,2.6.1.88,R08618
rxn15003_c0,2.4.1.99,
rxn15004_c0,2.4.1.99,
rxn15020_c0,1.1.2.5,
rxn15021_c0,2.2.1.6;4.1.3.18,
rxn15022_c0,1.1.1.42,
rxn15023_c0,1.1.1.42,
rxn15044_c0,4.1.1.112;4.1.1.3;7.2.4.2,
rxn15064_c0,2.6.1.16;5.3.1.19,
rxn15108_c0,2.7.6.1,
rxn15114_c0,5.3.1.6,
rxn15115_c0,2.7.5.1;5.4.2.2,
rxn15116_c0,4.1.2.13;4.1.2.7,
rxn15118_c0,3.2.2.3,
rxn15162_c0,3.2.2.1,
rxn15165_c0,3.2.2.1,
rxn15166_c0,4.4.1.13;4.4.1.6;4.4.1.8,
rxn15171_c0,4.2.1.3;4.2.1.4,
rxn15172_c0,4.2.1.3;4.2.1.4,
rxn15228_c0,2.2.1.1,
rxn15229_c0,3.2.2.1,
rxn15248_c0,3.2.2.1,
rxn15254_c0,2.5.1.56;4.1.3.19,
rxn15255_c0,2.5.1.56;4.1.3.19,
rxn15271_c0,2.2.1.1,
rxn15278_c0,1.1.1.42,
rxn15279_c0,1.1.1.42,
rxn15280_c0,4.2.1.3;4.2.1.4,
rxn15281_c0,4.2.1.3;4.2.1.4,
rxn15296_c0,4.2.1.12,
rxn15307_c0,3.2.2.1,
rxn15319_c0,3.2.2.1,
rxn15345_c0,1.1.1.55,
rxn15364_c0,5.3.1.9,
rxn15373_c0,1.1.1.303,
rxn15395_c0,2.5.1.48,
rxn15430_c0,2.7.1.3,
rxn15466_c0,1.1.1.86;1.1.1.89,
rxn15467_c0,4.2.1.9,
rxn15489_c0,3.5.1.6,
rxn15490_c0,3.5.1.6,
rxn15491_c0,2.2.1.6;4.1.3.18,
rxn15494_c0,3.1.3.11,
rxn15500_c0,2.5.1.48,
rxn15507_c0,2.6.1.1,
rxn15511_c0,1.1.1.86;1.1.1.89,
rxn15630_c0,2.2.1.1,
rxn15640_c0,2.2.1.1,
rxn15658_c0,1.1.1.255,
rxn15659_c0,1.1.1.255,
rxn15670_c0,1.14.11.9,
rxn15726_c0,1.1.1.399,
rxn15783_c0,2.1.1.201,
rxn15961_c0,1.12.98.3,
rxn15964_c0,2.1.2.1,
rxn15991_c0,1.1.1.306;1.2.1.66,
rxn16086_c0,1.3.1.32,
rxn16149_c0,1.1.1.298,
rxn16206_c0,2.1.1.14,
rxn16213_c0,1.6.4.5;1.8.1.9,
rxn16218_c0,6.3.2.36,
rxn16233_c0,2.5.1.147;2.5.1.77;4.3.1.32,
rxn16613_c0,3.1.3.83,
rxn19124_c0,1.1.1.70;1.2.1.3,
rxn20643_c0,4.1.99.17,
rxn23042_c0,2.5.1.3,
rxn25123_c0,3.1.3.1;3.1.3.2,
rxn25456_c0,2.1.1.163,
rxn25797_c0,,
rxn25837_c0,2.8.1.7,
rxn25838_c0,2.8.1.7,
rxn26477_c0,1.17.7.3,
rxn27289_c0,2.8.1.10,
rxn27362_c0,,
rxn27984_c0,2.3.1.179;2.3.1.41,
rxn31278_c0,6.3.1.2,
rxn31279_c0,6.3.1.2,
rxn31312_c0,1.2.7.3;1.2.7.9,
rxn33160_c0,1.1.1.70;1.2.1.3,
rxn33589_c0,3.1.3.11,
rxn33653_c0,3.1.3.26;3.1.3.62,
rxn33862_c0,5.1.3.1,
rxn34724_c0,3.1.2.14,
rxn38189_c0,3.6.1.15,
rxn38971_c0,1.2.1.16,
rxn38972_c0,1.2.1.16,
rxn39250_c0,2.4.2.28,
rxn41668_c0,4.1.99.23,
rxn42355_c0,2.5.1.147;2.5.1.77;4.3.1.32,
rxn43262_c0,,
rxn43368_c0,2.5.1.147;2.5.1.77;4.3.1.32,
rxn45543_c0,2.7.6.3,
rxn90017_c0,4.1.99.19,
rxn90058_c0,1.8.98.1,
rxn90059_c0,1.12.98.3,
rxn90070_c0,1.17.99.7,
rxn90072_c0,1.17.99.7,
rxn90115_c0,6.3.5.6,
rxn05319_c0,,
rxn05467_c0,,
rxn05468_c0,,
rxn05481_c0,,
rxn05634_c0,,
rxn05667_c0,,
rxn07919_c0,,
rxn07921_c0,,
rxn08032_c0,,
rxn08276_c0,,
rxn08358_c0,,
rxn08359_c0,,
rxn08428_c0,,
rxn08461_c0,,
rxn08635_c0,,
rxn08685_c0,,
rxn08689_c0,,
rxn08691_c0,,
rxn08751_c0,,
rxn08956_c0,,
rxn08966_c0,,
rxn09008_c0,,
rxn09169_c0,,
rxn09317_c0,,
rxn10470_c0,,
rxn10471_c0,,
rxn10480_c0,,
rxn10570_c0,,
rxn10577_c0,,
rxn31154_c0,,
rxn39175_c0,,
rxn90022_c0,,
rxn90023_c0,,
rxn00122_c0,2.7.7.2,R00161
rxn00137_c0,3.1.3.7,R00188
rxn00224_c0,,
rxn00351_c0,,R00497
rxn00392_c0,2.7.1.26,R00549
rxn00438_c0,2.7.4.16,R00617
rxn00532_c0,1.2.1.75,R00740
rxn00646_c0,,R00894
rxn00657_c0,2.6.1.19,R00908
rxn00856_c0,2.6.1.82,R01155
rxn01204_c0,2.6.1.19,R01648
rxn01207_c0,1.2.1.25,R01651
rxn01213_c0,2.5.1.1,R01658
rxn01466_c0,2.5.1.10,R02003
rxn01675_c0,2.7.7.24,R02328
rxn01790_c0,,R02472
rxn01997_c0,4.2.1.46,R06513
rxn02056_c0,,R02864
rxn02269_c0,1.2.1.25,
rxn02287_c0,2.1.1.107,R03194
rxn02304_c0,,
rxn02341_c0,4.1.1.36,R03269
rxn02402_c0,,R03348
rxn02774_c0,,R03947
rxn02897_c0,,R04148
rxn03150_c0,3.1.3.73,R04594
rxn03511_c0,5.1.3.20,R05176
rxn03537_c0,2.7.7.62,R05222
rxn03538_c0,,R05223
rxn03919_c0,3.1.3.82,R05647
rxn04413_c0,,R06558
rxn05029_c0,2.5.1.17,
rxn05144_c0,4.3.3.6,R07456
rxn05224_c0,,
rxn05275_c0,,
rxn05276_c0,,
rxn05301_c0,,
rxn05618_c0,,
rxn06080_c0,3.1.3.27,R02029
rxn06848_c0,,R05075
rxn06865_c0,,R05146
rxn08088_c0,,
rxn08291_c0,1.4.99.6,
rxn08311_c0,2.7.7.41,
rxn08551_c0,2.3.1.15,
rxn08583_c0,,
rxn08618_c0,,
rxn08619_c0,,
rxn08620_c0,,
rxn08669_c0,3.1.4.46,
rxn08708_c0,,
rxn08709_c0,,
rxn08710_c0,,
rxn08711_c0,,
rxn08712_c0,,
rxn08713_c0,,
rxn08813_c0,,
rxn08921_c0,,
rxn08954_c0,,
rxn09106_c0,3.1.3.27,
rxn09113_c0,2.7.8.5,
rxn09133_c0,3.1.1.32,
rxn09161_c0,3.1.1.4,
rxn09210_c0,2.7.8.8,
rxn09225_c0,,
rxn09429_c0,,
rxn10053_c0,6.3.4.18,
rxn10096_c0,,
rxn10097_c0,,
rxn10098_c0,,
rxn10107_c0,3.1.3.27,
rxn10199_c0,,
rxn10204_c0,2.3.1.15,
rxn10205_c0,2.3.1.15,
rxn10206_c0,2.3.1.15,
rxn10214_c0,,
rxn10215_c0,,
rxn10220_c0,2.7.7.41,
rxn10221_c0,2.7.7.41,
rxn10226_c0,2.7.8.8,
rxn10227_c0,2.7.8.8,
rxn10254_c0,2.7.1.107,
rxn10259_c0,2.7.8.5,
rxn10260_c0,2.7.8.5,
rxn10265_c0,3.1.3.27,
rxn10266_c0,3.1.3.27,
rxn10275_c0,,
rxn10284_c0,,
rxn10336_c0,,
rxn10337_c0,,
rxn10338_c0,,
rxn10340_c0,,
rxn10954_c0,,
rxn11196_c0,,
rxn12220_c0,1.3.3.3,
rxn12512_c0,6.3.2.5,R04230
rxn13812_c0,,
rxn15874_c0,,
rxn15947_c0,,
rxn15949_c0,,
rxn16823_c0,5.3.99.10,
rxn23045_c0,,
rxn25839_c0,,
rxn33674_c0,2.5.1.31,
rxn90071_c0,,
rxn00048_c0,2.5.1.9,R00066
rxn00274_c0,2.3.1.29,R00371
rxn00505_c0,1.1.1.286;1.1.1.87,R00709
rxn01068_c0,1.1.1.103,R01465
rxn05202_c0,,
rxn05909_c0,4.2.1.21;4.2.1.22,R00891
rxn09678_c0,,
rxn12029_c0,1.14.14.1,R08257
rxn12044_c0,6.3.1.9,R08354
rxn12045_c0,6.3.1.9,R08355
rxn13961_c0,1.14.14.1,
rxn01233_c0,2.6.1.55,R01684
rxn03923_c0,2.3.3.15;4.4.1.12,R05651
rxn31335_c0,4.1.2.13;4.1.2.7,
rxn01231_c0,4.1.1.29,R01682
rxn01278_c0,1.1.1.69,R01740
rxn03924_c0,2.6.1.77,R05652
rxn03963_c0,1.1.1.310,R05693
rxn08185_c0,,
rxn13726_c0,1.6.5.3;7.1.1.2,
rxn13853_c0,,
rxn15695_c0,4.4.1.24,
rxn27727_c0,3.6.3.14;7.1.2.2,
rxn28083_c0,2.6.1.79,
rxn32380_c0,2.4.2.8,
rxn02438_c0,1.1.1.187;1.1.1.281,R03397
rxn02440_c0,1.1.1.187;1.1.1.281,R03399
rxn05211_c0,,
rxn09115_c0,,
rxn09157_c0,3.1.1.4,
rxn09164_c0,3.1.1.4,
