reaction,ec,kegg
rxn00499_c0,1.1.1.27,R00703
rxn00503_c0,1.2.1.88;1.5.1.12,R00707
rxn00504_c0,1.2.1.88;1.5.1.12,R00708
rxn00506_c0,1.1.1.70;1.2.1.3,R00710
rxn00507_c0,1.2.1.4;1.2.1.5,R00711
rxn00508_c0,1.2.1.16;1.2.1.24,R00713
rxn00509_c0,1.2.1.79,R00714
rxn00510_c0,1.5.1.7,R00715
rxn00512_c0,1.1.1.29,R00717
rxn00513_c0,3.6.1.15,R00719
rxn00514_c0,3.6.1.19;3.6.1.23;3.6.1.9,R00720
rxn00515_c0,2.7.4.6,R00722
rxn00517_c0,2.7.1.40,R00724
rxn00520_c0,6.2.1.4,R00727
rxn00527_c0,2.6.1.1,R00734
rxn00533_c0,6.4.1.2,R00742
rxn00536_c0,1.1.1.2,R00746
rxn00549_c0,3.1.3.11,R00762
rxn00555_c0,2.6.1.16;5.3.1.19,R00768
rxn00558_c0,5.3.1.9,R00771
rxn00560_c0,3.5.1.45;6.3.4.6,R00774
rxn00566_c0,4.4.1.13;4.4.1.6;4.4.1.8,R00782
rxn00611_c0,1.1.1.8,R00842
rxn00612_c0,1.1.1.94,R00844
rxn00627_c0,2.7.1.3,R00866
rxn00642_c0,4.2.1.47,R00888
rxn00647_c0,2.6.1.1,R00895;R00896
rxn00649_c0,2.5.1.47,R00897
rxn00650_c0,3.4.1.1;3.4.11.1,R00899
rxn00651_c0,4.4.1.10,R00901
rxn00653_c0,1.1.1.70;1.2.1.3,R00904
rxn00654_c0,3.5.1.6,R00905
rxn00670_c0,2.3.1.222,R00921
rxn00674_c0,6.2.1.17,R00925
rxn00675_c0,6.2.1.17,R00926
rxn00684_c0,1.5.1.3;1.5.1.4,R00936
rxn00686_c0,1.5.1.3;1.5.1.4,R00939
rxn00689_c0,6.3.2.17,
rxn00690_c0,6.3.4.3,R00943
rxn00691_c0,3.5.1.10,R00944
rxn00692_c0,2.1.2.1,R00945
rxn00693_c0,2.1.1.13,R00946
rxn00704_c0,2.7.5.1;5.4.2.2,R08639
rxn00708_c0,3.1.3.5,R00963
rxn00710_c0,4.1.1.23,R00965
rxn00711_c0,2.4.2.9,R00966
rxn00726_c0,4.1.3.27,R00985
rxn00727_c0,4.1.3.27,R00986
rxn00735_c0,1.1.1.85,R00994
rxn00736_c0,4.1.1.112;4.1.1.3;7.2.4.2,R00995
rxn00737_c0,4.2.1.16;4.3.1.19,R00996
rxn00742_c0,4.2.1.15;4.4.1.1,
rxn00743_c0,3.1.3.2,R01010
rxn00744_c0,2.7.1.29,R01011
rxn00747_c0,5.3.1.1,R01015
rxn00758_c0,3.1.4.2,R01030
rxn00765_c0,1.1.1.2,R01041
rxn00770_c0,2.7.6.1,
rxn00777_c0,5.3.1.6,
rxn00778_c0,2.7.5.1;5.4.2.2,
rxn00780_c0,2.7.1.28,R01059
rxn00781_c0,1.2.1.12,R01061
rxn00782_c0,1.2.1.13,R01063
rxn00785_c0,2.2.1.1,R01067
