reaction,name,pct_st658,pct_others,pct_diff,p
rxn12448_c0,transport of na+ [extraorganism-cytosol](secondary antiport),75.0,0.0,75.0,3.908540160250147e-05
rxn09422_c0,"fatty acyl-ACP synthase (n-C8:0ACP), mitochondrial, lumped reaction",75.0,0.0,75.0,3.908540160250147e-05
rxn25963_c0,N-acetylneuraminate-9-phosphatase,75.0,0.0,75.0,3.908540160250147e-05
rxn07949_c0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),75.0,0.0,75.0,3.908540160250147e-05
rxn01395_c0,oxalyl-CoA carboxy-lyase (formyl-CoA-forming),75.0,1.22,73.78,0.00015492888105087934
rxn01317_c0,N-Acetylneuraminate 9-phosphate phosphohydrolase,75.0,2.44,72.56,0.0003837903892293818
rxn08841_c0,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",75.0,6.1,68.9,0.002089891714601223
rxn04793_c0,trans-Hex-2-enoyl-CoA reductase,100.0,23.17,76.83,0.00416989435168856
rxn00174_c0,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),75.0,8.54,66.46,0.004393575866883599
rxn00078_c0,ATP:NADH 2'-phosphotransferase,100.0,25.61,74.39,0.0059569919309836565
rxn00023_c0,thiosulfate:ferricytochrome-c oxidoreductase,75.0,10.98,64.02,0.007899489299782677
rxn07267_c0,R07390,75.0,10.98,64.02,0.007899489299782677
rxn06081_c0,CDP-diacylglycerol:phosphatidylglycerol 3-phosphatidyltransferase,75.0,10.98,64.02,0.007899489299782677
rxn00623_c0,hydrogen-sulfide:NADP+ oxidoreductase,75.0,10.98,64.02,0.007899489299782677
rxn00656_c0,L-Alanine:3-oxopropanoate aminotransferase,100.0,28.05,71.95,0.00826444335089037
EX_cpd11422_e0,"1,2-diacyl-sn-glycerol 3-phosphate-e0 Exchange",75.0,12.2,62.8,0.010168326226539928
rxn13123_c0,"Transport of phosphatidate, mitochondrial",75.0,12.2,62.8,0.010168326226539928
rxn00964_c0,4-Hydroxybenzoate:CoA ligase (AMP-forming),75.0,13.41,61.59,0.012812948098824849
rxn19956_c0,(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase,75.0,13.41,61.59,0.012812948098824849
rxn08670_c0,glutaredoxin reductase,75.0,13.41,61.59,0.012812948098824849
rxn10558_c0,H+/K+ gastric/non-gastric P-ATPase and ABC ATPase,25.0,86.59,-61.59,0.01281294809882485
rxn10578_c0,Na+/K+-exchanging ATPase,25.0,86.59,-61.59,0.01281294809882485
rxn08762_c0,K(+)-importing ATPase,25.0,86.59,-61.59,0.01281294809882485
rxn31225_c0,"3-oxoacyl-[acyl-carrier-protein] synthase III, chloroplast / beta-ketoacyl-ACP synthase III / 3-ketoacyl-acyl carrier protein synthase III (KAS III)",75.0,14.63,60.37,0.015855487613930415
rxn10239_c0,anteisoheptadecanoyl-phosphatidic acid phosphatase,75.0,15.85,59.15,0.01931666474379049
rxn08813_c0,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm)",75.0,15.85,59.15,0.01931666474379049
rxn09161_c0,"Phospholipase A2 (phosphatidylglycerol, n-C16:0) (periplasm)",75.0,18.29,56.71,0.02757074810871392
rxn12029_c0,R08257,75.0,18.29,56.71,0.02757074810871392
EX_cpd00138_e0,D-Mannose-e0 Exchange,25.0,80.49,-55.49,0.032398030660849376
EX_cpd00108_e0,Galactose-e0 Exchange,25.0,80.49,-55.49,0.032398030660849376
rxn10254_c0,anteisoheptadecanoyl-Diacylglycerol kinase,25.0,80.49,-55.49,0.032398030660849376
rxn01741_c0,Shikimate:NADP+ 5-oxidoreductase,25.0,80.49,-55.49,0.032398030660849376
rxn12220_c0,coproporphyrinogen oxidase,100.0,42.68,57.32,0.03873269117117287
rxn09141_c0,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)",0.0,56.1,-56.1,0.0430363235235254
rxn02303_c0,Coproporphyrinogen:oxygen oxidoreductase(decarboxylating),0.0,56.1,-56.1,0.0430363235235254
rxn05942_c0,5-methyltetrahydrofolate:ferredoxin oxidoreductase,75.0,21.95,53.05,0.0435284228569545
rxn00508_c0,Succinate-semialdehyde:NAD+ oxidoreductase,25.0,78.05,-53.05,0.0435284228569545
rxn04384_c0,adenosylcobyric acid:(R)-1-aminopropan-2-yl phosphate ligase,25.0,0.0,25.0,0.04651162790697674
rxn05054_c0,adenosylcobyric acid:(R)-1-aminopropan-2-ol ligase (ADP-forming),25.0,0.0,25.0,0.04651162790697674
rxn31335_c0,"fructose-bisphosphate aldolase, putative",75.0,23.17,51.83,0.04985743246584148
rxn01273_c0,(R)-Lactaldehyde:NAD+ 2-oxidoreductase,25.0,76.83,-51.83,0.04985743246584149
rxn00507_c0,Acetaldehyde:NADP+ oxidoreductase,25.0,76.83,-51.83,0.04985743246584149
rxn32777_c0,Methylenetetrahydrofolate dehydrogenase (NADP+),0.0,53.66,-53.66,0.05270878314901193
rxn05611_c0,D-mannose transport in via proton symport,25.0,75.61,-50.61,0.05671056318296442
rxn01868_c0,p-Cumic alcohol:NADP+ oxidoreductase,25.0,74.39,-49.39,0.06409723317738415
rxn38862_c0,ALDEHYDE DEHYDROGENASE,75.0,26.83,48.17,0.07202544789280241
