reaction,name
rxn00184_c0,L-Glutamate:NADP+ oxidoreductase (deaminating)
rxn00186_c0,5-oxo-L-proline amidohydrolase (ATP-hydrolysing)
rxn00187_c0,L-Glutamate:ammonia ligase (ADP-forming)
rxn00189_c0,L-Glutamine amidohydrolase
rxn00191_c0,L-Alanine:2-oxoglutarate aminotransferase
rxn00192_c0,acetyl-CoA:L-glutamate N-acetyltransferase
rxn00193_c0,glutamate racemase
rxn00196_c0,"2,5-dioxopentanoate:NADP+ 5-oxidoreductase"
rxn00198_c0,Isocitrate:NADP+ oxidoreductase (decarboxylating)
rxn00199_c0,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)
rxn00202_c0,"acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)"
rxn00203_c0,2-Oxoglutarate carboxy-lyase
rxn00204_c0,oxalate:oxygen oxidoreductase
rxn00206_c0,superoxide:superoxide oxidoreductase
rxn00208_c0,Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)
rxn00209_c0,Pyridoxine 5-phosphate:oxygen oxidoreductase
rxn00211_c0,UDP-glucose:NAD+ 6-oxidoreductase
rxn00212_c0,UDP-glucose glucophosphohydrolase
rxn00213_c0,UTP:alpha-D-glucose-1-phosphate uridylyltransferase
rxn00214_c0,UDP-glucose 4-epimerase
rxn00215_c0,"UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)"
rxn00216_c0,ATP:D-glucose 6-phosphotransferase
rxn00224_c0,protoheme ferro-lyase (protoporphyrin-forming)
rxn00225_c0,ATP:acetate phosphotransferase
rxn00226_c0,ATP:acetate adenylyltransferase
rxn00237_c0,ATP:GDP phosphotransferase
rxn00238_c0,ATP:nucleoside-diphosphate phosphotransferase
rxn00239_c0,ATP:GMP phosphotransferase
rxn00241_c0,GTP phosphohydrolase
rxn00242_c0,"guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase"
rxn00247_c0,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
rxn00248_c0,(S)-malate:NAD+ oxidoreductase
rxn00256_c0,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)
rxn00257_c0,"acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]"
rxn00260_c0,L-Aspartate:2-oxoglutarate aminotransferase
rxn00262_c0,L-Aspartic acid:oxygen oxidoreductase (deaminating)
rxn00264_c0,(S)-Malate:oxygen oxidoreductase
rxn00270_c0,S-Adenosyl-L-methionine:glycine N-methyltransferase
rxn00272_c0,L-Alanine:glyoxylate aminotransferase
rxn00274_c0,Acetyl-CoA:glycine C-acetyltransferase
rxn00283_c0,alanine racemase
rxn00285_c0,Succinate:CoA ligase (ADP-forming)
rxn00292_c0,UDP-N-acetyl-D-glucosamine 2-epimerase
